x,y,timestamp,pen_status
<<<<<<< HEAD
54962.69,36863.57,482795.8,1.0
29710.75,38500.668,482819.6,1.0
33253.324,27291.145,482819.6,0.0
25471.871,17658.068,482819.6,0.0
37889.57,7599.0483,482819.6,1.0
33681.977,35932.957,482819.6,1.0
24845.67,24314.846,482819.6,1.0
57461.688,35968.99,483464.3,1.0
56424.75,13909.731,483464.3,0.0
24567.936,24762.23,483464.3,1.0
37146.727,37512.906,483464.3,1.0
46169.86,27681.08,483464.3,1.0
46428.336,15916.892,483464.3,1.0
50919.227,25829.943,483502.3,1.0
23046.988,16745.46,484170.0,1.0
49866.02,26040.795,484170.0,1.0
28924.465,36958.664,484170.0,1.0
18664.887,34247.594,484170.0,1.0
16055.582,5761.02,484170.0,1.0
18709.02,9547.976,484210.06,1.0
58147.766,20448.576,484889.0,1.0
45469.816,27893.123,484889.0,1.0
17544.434,7506.096,484889.0,1.0
16164.6045,6021.342,484889.0,1.0
29284.137,8896.542,484889.0,1.0
16177.494,18119.506,484889.0,1.0
29560.004,38235.395,484917.84,1.0
48428.27,26607.387,485596.22,1.0
15828.615,20968.521,485596.22,1.0
24857.654,25265.754,485596.22,1.0
53446.516,24862.48,485596.22,1.0
23628.863,23982.992,485596.22,1.0
16804.08,17062.719,485602.38,0.0
51488.434,12330.448,485623.44,1.0
15686.001,5610.183,485623.44,1.0
17828.742,7936.7163,485623.44,1.0
17201.99,25865.492,485623.44,1.0
17265.15,7198.859,485623.44,1.0
51428.07,38245.69,485623.44,1.0
24403.01,24479.814,485627.3,1.0
18374.248,8887.137,485650.97,1.0
54676.69,24461.428,485650.97,1.0
27270.393,31468.725,485650.97,1.0
44337.71,25137.074,485650.97,0.0
54388.973,24658.803,485650.97,1.0
54270.016,24694.963,485650.97,1.0
26975.422,30995.57,486292.22,1.0
46152.29,27692.795,486320.88,1.0
27532.72,31820.309,486320.88,1.0
16747.197,24761.783,486320.88,1.0
24364.053,24582.416,486320.88,1.0
16253.131,6040.784,486320.88,1.0
57669.65,18674.684,486320.88,1.0
37347.062,39444.055,486337.72,1.0
51611.31,25600.93,486982.78,1.0
44891.832,15974.167,487027.22,1.0
41171.543,38346.63,487047.28,1.0
54505.926,15935.359,487067.0,1.0
16029.801,5742.351,487087.47,1.0
48629.547,11168.265,487107.75,1.0
44909.906,28523.877,487128.06,1.0
17748.848,8199.828,487152.2,1.0
34883.297,27452.049,487152.2,0.0
14870.959,4801.775,487152.2,1.0
25198.496,28313.406,487152.2,1.0
57647.37,33369.2,487152.2,1.0
42711.176,9057.472,487675.34,1.0
23826.055,24391.557,487901.1,1.0
51542.52,25506.348,488369.47,1.0
16608.73,16807.78,488394.8,0.0
55657.457,14156.001,488400.38,1.0
24768.707,16759.713,488400.38,1.0
24600.74,27406.63,488400.38,1.0
57449.77,15274.786,488400.38,1.0
14527.061,4456.4814,488400.38,1.0
30820.953,40059.94,488400.38,1.0
40923.863,16241.334,488410.78,1.0
29546.266,24968.668,488410.78,0.0
55163.457,24443.65,488410.78,1.0
31781.826,38762.496,488410.78,1.0
20225.172,13690.712,488410.78,1.0
21216.355,13047.278,488410.78,1.0
27147.627,23860.709,489062.44,0.0
18826.812,34839.715,489109.47,1.0
16219.027,22277.207,489329.03,1.0
17096.982,7108.1953,489824.3,1.0
47050.727,10523.167,490762.56,1.0
37284.617,39423.76,491258.7,1.0
24954.115,26522.682,491338.53,1.0
16376.066,22962.08,491348.53,1.0
14912.149,4850.322,491935.6,1.0
17142.213,17082.732,491977.2,1.0
16605.307,16803.521,492036.62,0.0
40447.496,8316.663,492199.38,1.0
18876.746,34999.5,492736.06,1.0
45505.6,28104.316,493435.72,1.0
37206.39,39384.316,493639.72,1.0
19451.547,10621.127,494137.1,1.0
19335.938,10469.893,494719.25,1.0
38034.42,7619.583,494839.78,1.0
15606.921,5507.361,495118.34,1.0
18518.312,9037.879,495145.84,1.0
19323.504,35906.26,495145.84,1.0
56541.16,15818.25,495145.84,1.0
48965.75,26410.498,495145.84,1.0
37589.46,6824.8823,495145.84,1.0
17996.479,18370.873,495145.84,0.0
17233.178,7261.8604,495166.7,1.0
44843.004,28536.402,495198.28,1.0
37249.723,39040.78,495229.66,1.0
51254.582,38267.855,495260.5,1.0
50028.37,26063.467,495292.1,1.0
22159.77,39235.113,495323.12,1.0
21758.154,39058.41,495331.8,1.0
17476.256,7612.8413,495331.8,1.0
44507.914,28473.555,495331.8,1.0
41132.22,8587.825,495331.8,1.0
57919.043,19494.602,495331.8,1.0
44909.973,28523.791,495348.97,1.0
55171.754,24418.021,495443.03,1.0
15636.81,5503.057,496099.62,1.0
17913.16,7986.4683,496167.78,1.0
56505.99,35802.08,496851.2,1.0
26217.66,27886.316,496893.12,1.0
22128.455,20560.615,497045.72,1.0
20226.531,37600.863,497575.4,1.0
15018.7705,4953.264,497603.88,1.0
47163.344,38457.805,497619.8,1.0
25758.752,25998.35,497641.88,1.0
55869.977,15835.602,498325.25,1.0
28021.773,32533.357,498357.12,1.0
21128.775,38645.176,498368.7,1.0
17507.338,16713.54,499079.34,1.0
56185.242,35993.77,499112.62,1.0
20476.11,11211.873,499120.8,1.0
23161.41,24794.338,499120.8,1.0
19270.295,9773.82,499120.8,1.0
15115.319,14687.255,499120.8,0.0
23169.186,11018.366,499120.8,1.0
24984.18,27980.133,499120.8,1.0
28896.555,36849.312,499749.9,1.0
25633.469,16736.87,499781.8,1.0
52019.77,25429.139,499813.66,1.0
45663.76,28684.205,499836.06,1.0
56787.613,15765.755,499857.84,1.0
16589.45,6563.1895,499904.56,1.0
14332.192,4304.403,499950.1,1.0
33420.082,16767.701,499973.78,1.0
25806.871,28055.068,499973.78,1.0
50841.1,25798.648,499973.78,1.0
29825.688,38883.47,499973.78,1.0
57331.57,35852.54,499973.78,1.0
18022.682,8336.932,499985.34,1.0
17828.146,7869.1074,499991.72,1.0
18406.36,33176.89,500593.72,1.0
14920.634,4796.5327,500601.0,1.0
35486.926,36034.598,500636.28,1.0
14539.39,4466.9424,501351.3,1.0
21948.97,39189.5,501363.66,1.0
25471.607,28769.658,501519.62,1.0
35345.363,27014.682,502091.3,0.0
40923.863,16241.334,502819.12,1.0
14921.052,4796.3184,502957.56,1.0
53444.67,37653.344,503052.56,1.0
33493.82,35916.637,503524.06,1.0
14893.083,4797.7217,503549.5,1.0
16858.973,17126.656,503577.2,0.0
15279.12,5045.289,503620.2,1.0
16238.721,6092.4375,503715.3,1.0
34288.5,39017.305,503851.62,1.0
25971.453,27440.17,503991.3,1.0
22206.36,22871.508,504131.06,1.0
15545.686,18787.795,504280.84,1.0
52883.37,20025.521,504589.2,0.0
